"","Stat","Base.Damage","100","105","110","115","120","125","130","135","140","145","150","155","160","165","170","175","180","185","190","195"
"50","50",500,375,368,362,356,350,343,337,331,325,318,312,306,300,293,287,281,275,268,262,256
"55","55",550,412,405,398,391,385,378,371,364,357,350,343,336,330,323,316,309,302,295,288,281
"60","60",600,450,442,435,427,420,412,405,397,390,382,375,367,360,352,345,337,330,322,315,307
"65","65",650,487,479,471,463,455,446,438,430,422,414,406,398,390,381,373,365,357,349,341,333
"70","70",700,525,516,507,498,490,481,472,463,455,446,437,428,420,411,402,393,385,376,367,358
"75","75",750,562,553,543,534,525,515,506,496,487,478,468,459,450,440,431,421,412,403,393,384
"80","80",800,600,590,580,570,560,550,540,530,520,510,500,490,480,470,460,450,440,430,420,410
"85","85",850,637,626,616,605,595,584,573,563,552,541,531,520,510,499,488,478,467,456,446,435
"90","90",900,675,663,652,641,630,618,607,596,585,573,562,551,540,528,517,506,495,483,472,461
"95","95",950,712,700,688,676,665,653,641,629,617,605,593,581,570,558,546,534,522,510,498,486
"100","100",1000,750,737,725,712,700,687,675,662,650,637,625,612,600,587,575,562,550,537,525,512
"105","105",1150,862,848,833,819,805,790,776,761,747,733,718,704,690,675,661,646,632,618,603,589
"110","110",1300,975,958,942,926,910,893,877,861,845,828,812,796,780,763,747,731,715,698,682,666
"115","115",1450,1087,1069,1051,1033,1015,996,978,960,942,924,906,888,870,851,833,815,797,779,761,743
"120","120",1600,1200,1180,1160,1140,1120,1100,1080,1060,1040,1020,1000,980,960,940,920,900,880,860,840,820
"125","125",1750,1312,1290,1268,1246,1225,1203,1181,1159,1137,1115,1093,1071,1050,1028,1006,984,962,940,918,896
"130","130",1900,1425,1401,1377,1353,1330,1306,1282,1258,1235,1211,1187,1163,1140,1116,1092,1068,1045,1021,997,973
"135","135",2050,1537,1511,1486,1460,1435,1409,1383,1358,1332,1306,1281,1255,1230,1204,1178,1153,1127,1101,1076,1050
"140","140",2200,1650,1622,1595,1567,1540,1512,1485,1457,1430,1402,1375,1347,1320,1292,1265,1237,1210,1182,1155,1127
"145","145",2350,1762,1733,1703,1674,1645,1615,1586,1556,1527,1498,1468,1439,1410,1380,1351,1321,1292,1263,1233,1204
"150","150",2500,1875,1843,1812,1781,1750,1718,1687,1656,1625,1593,1562,1531,1500,1468,1437,1406,1375,1343,1312,1281
"155","155",2650,1987,1954,1921,1888,1855,1821,1788,1755,1722,1689,1656,1623,1590,1556,1523,1490,1457,1424,1391,1358
"160","160",2800,2100,2065,2030,1995,1960,1925,1890,1855,1820,1785,1750,1715,1680,1645,1610,1575,1540,1505,1470,1435
"165","165",2950,2212,2175,2138,2101,2065,2028,1991,1954,1917,1880,1843,1806,1770,1733,1696,1659,1622,1585,1548,1511
"170","170",3100,2325,2286,2247,2208,2170,2131,2092,2053,2015,1976,1937,1898,1860,1821,1782,1743,1705,1666,1627,1588
"175","175",3250,2437,2396,2356,2315,2275,2234,2193,2153,2112,2071,2031,1990,1950,1909,1868,1828,1787,1746,1706,1665
"180","180",3400,2550,2507,2465,2422,2380,2337,2295,2252,2210,2167,2125,2082,2040,1997,1955,1912,1870,1827,1785,1742
"185","185",3550,2662,2618,2573,2529,2485,2440,2396,2351,2307,2263,2218,2174,2130,2085,2041,1996,1952,1908,1863,1819
"190","190",3700,2775,2728,2682,2636,2590,2543,2497,2451,2405,2358,2312,2266,2220,2173,2127,2081,2035,1988,1942,1896
"195","195",3850,2887,2839,2791,2743,2695,2646,2598,2550,2502,2454,2406,2358,2310,2261,2213,2165,2117,2069,2021,1973
"200","200",4000,3000,2950,2900,2850,2800,2750,2700,2650,2600,2550,2500,2450,2400,2350,2300,2250,2200,2150,2100,2050
"205","205",4300,3225,3171,3117,3063,3010,2956,2902,2848,2795,2741,2687,2633,2580,2526,2472,2418,2365,2311,2257,2203
"210","210",4600,3450,3392,3335,3277,3220,3162,3105,3047,2990,2932,2875,2817,2760,2702,2645,2587,2530,2472,2415,2357
"215","215",4900,3675,3613,3552,3491,3430,3368,3307,3246,3185,3123,3062,3001,2940,2878,2817,2756,2695,2633,2572,2511
"220","220",5200,3900,3835,3770,3705,3640,3575,3510,3445,3380,3315,3250,3185,3120,3055,2990,2925,2860,2795,2730,2665
